OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00087669,UF1,Urban: Further from a major town or city,Urban,83056
E00087670,UF1,Urban: Further from a major town or city,Urban,83057
E00087671,UF1,Urban: Further from a major town or city,Urban,83058
E00087672,UF1,Urban: Further from a major town or city,Urban,83059
E00087995,RSN1,Smaller rural: Nearer to a major town or city,Rural,83060
E00087780,UN1,Urban: Nearer to a major town or city,Urban,83061
E00087726,RSF1,Smaller rural: Further from a major town or city,Rural,83062
E00087996,RSN1,Smaller rural: Nearer to a major town or city,Rural,83063
E00087997,RSN1,Smaller rural: Nearer to a major town or city,Rural,83064
E00087998,RSN1,Smaller rural: Nearer to a major town or city,Rural,83065
E00087999,RLN1,Larger rural: Nearer to a major town or city,Rural,83066
E00088001,RLN1,Larger rural: Nearer to a major town or city,Rural,83067
E00088002,RLN1,Larger rural: Nearer to a major town or city,Rural,83068
E00088003,RSN1,Smaller rural: Nearer to a major town or city,Rural,83069
E00088004,RLN1,Larger rural: Nearer to a major town or city,Rural,83070
E00088005,RLN1,Larger rural: Nearer to a major town or city,Rural,83071
E00088006,RLN1,Larger rural: Nearer to a major town or city,Rural,83072
E00088007,RLN1,Larger rural: Nearer to a major town or city,Rural,83073
E00088008,RLN1,Larger rural: Nearer to a major town or city,Rural,83074
E00088009,RLN1,Larger rural: Nearer to a major town or city,Rural,83075
E00088010,RLN1,Larger rural: Nearer to a major town or city,Rural,83076
E00088011,RLN1,Larger rural: Nearer to a major town or city,Rural,83077
E00088012,RLN1,Larger rural: Nearer to a major town or city,Rural,83078
E00088013,RLN1,Larger rural: Nearer to a major town or city,Rural,83079
E00088014,RSN1,Smaller rural: Nearer to a major town or city,Rural,83080
E00088015,RSN1,Smaller rural: Nearer to a major town or city,Rural,83081
E00088016,RSN1,Smaller rural: Nearer to a major town or city,Rural,83082
E00088017,RSF1,Smaller rural: Further from a major town or city,Rural,83083
E00088018,UN1,Urban: Nearer to a major town or city,Urban,83084
E00088019,UN1,Urban: Nearer to a major town or city,Urban,83085
E00088020,UN1,Urban: Nearer to a major town or city,Urban,83086
E00088021,UN1,Urban: Nearer to a major town or city,Urban,83087
E00088022,RSN1,Smaller rural: Nearer to a major town or city,Rural,83088
E00088023,UN1,Urban: Nearer to a major town or city,Urban,83089
E00088024,RSN1,Smaller rural: Nearer to a major town or city,Rural,83090
E00088025,UN1,Urban: Nearer to a major town or city,Urban,83091
E00088026,UN1,Urban: Nearer to a major town or city,Urban,83092
E00088027,UN1,Urban: Nearer to a major town or city,Urban,83093
E00088028,UN1,Urban: Nearer to a major town or city,Urban,83094
E00088029,UN1,Urban: Nearer to a major town or city,Urban,83095
E00088030,UN1,Urban: Nearer to a major town or city,Urban,83096
E00088031,UN1,Urban: Nearer to a major town or city,Urban,83097
E00088032,UN1,Urban: Nearer to a major town or city,Urban,83098
E00088033,UN1,Urban: Nearer to a major town or city,Urban,83099
E00088034,UN1,Urban: Nearer to a major town or city,Urban,83100
E00088035,UN1,Urban: Nearer to a major town or city,Urban,83101
E00088036,UN1,Urban: Nearer to a major town or city,Urban,83102
E00088037,UN1,Urban: Nearer to a major town or city,Urban,83103
E00088038,UN1,Urban: Nearer to a major town or city,Urban,83104
E00088039,UN1,Urban: Nearer to a major town or city,Urban,83105
E00088040,UN1,Urban: Nearer to a major town or city,Urban,83106
E00088041,UN1,Urban: Nearer to a major town or city,Urban,83107
E00088042,UN1,Urban: Nearer to a major town or city,Urban,83108
E00087781,RSN1,Smaller rural: Nearer to a major town or city,Rural,83109
E00087782,UN1,Urban: Nearer to a major town or city,Urban,83110
E00087783,UN1,Urban: Nearer to a major town or city,Urban,83111
