OA21CD,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E00088433,UN1,Urban: Nearer to a major town or city,Urban,83398
E00088340,RSN1,Smaller rural: Nearer to a major town or city,Rural,83399
E00088341,RSN1,Smaller rural: Nearer to a major town or city,Rural,83400
E00088342,UN1,Urban: Nearer to a major town or city,Urban,83401
E00088343,UN1,Urban: Nearer to a major town or city,Urban,83402
E00088344,UN1,Urban: Nearer to a major town or city,Urban,83403
E00088345,UN1,Urban: Nearer to a major town or city,Urban,83404
E00088346,UN1,Urban: Nearer to a major town or city,Urban,83405
E00088347,UN1,Urban: Nearer to a major town or city,Urban,83406
E00088348,UN1,Urban: Nearer to a major town or city,Urban,83407
E00088350,UN1,Urban: Nearer to a major town or city,Urban,83408
E00088352,UN1,Urban: Nearer to a major town or city,Urban,83409
E00088353,UN1,Urban: Nearer to a major town or city,Urban,83410
E00088354,UN1,Urban: Nearer to a major town or city,Urban,83411
E00088355,UN1,Urban: Nearer to a major town or city,Urban,83412
E00088281,UN1,Urban: Nearer to a major town or city,Urban,83413
E00088174,RSN1,Smaller rural: Nearer to a major town or city,Rural,83414
E00088282,UN1,Urban: Nearer to a major town or city,Urban,83415
E00088118,RLN1,Larger rural: Nearer to a major town or city,Rural,83416
E00088055,UN1,Urban: Nearer to a major town or city,Urban,83417
E00088356,UN1,Urban: Nearer to a major town or city,Urban,83418
E00088283,UN1,Urban: Nearer to a major town or city,Urban,83419
E00088056,RSN1,Smaller rural: Nearer to a major town or city,Rural,83420
E00088357,UN1,Urban: Nearer to a major town or city,Urban,83421
E00088119,RLN1,Larger rural: Nearer to a major town or city,Rural,83422
E00088285,UN1,Urban: Nearer to a major town or city,Urban,83423
E00088057,RSN1,Smaller rural: Nearer to a major town or city,Rural,83424
E00088175,RSN1,Smaller rural: Nearer to a major town or city,Rural,83425
E00088358,UN1,Urban: Nearer to a major town or city,Urban,83426
E00088120,RLN1,Larger rural: Nearer to a major town or city,Rural,83427
E00088286,RSN1,Smaller rural: Nearer to a major town or city,Rural,83428
E00088059,UN1,Urban: Nearer to a major town or city,Urban,83429
E00088176,RSN1,Smaller rural: Nearer to a major town or city,Rural,83430
E00088359,UN1,Urban: Nearer to a major town or city,Urban,83431
E00088121,RSN1,Smaller rural: Nearer to a major town or city,Rural,83432
E00088288,RLN1,Larger rural: Nearer to a major town or city,Rural,83433
E00088060,UN1,Urban: Nearer to a major town or city,Urban,83434
E00088177,RLN1,Larger rural: Nearer to a major town or city,Rural,83435
E00088360,UN1,Urban: Nearer to a major town or city,Urban,83436
E00088122,RLN1,Larger rural: Nearer to a major town or city,Rural,83437
E00088289,RLN1,Larger rural: Nearer to a major town or city,Rural,83438
E00088063,UN1,Urban: Nearer to a major town or city,Urban,83439
E00088178,RSN1,Smaller rural: Nearer to a major town or city,Rural,83440
E00088361,UN1,Urban: Nearer to a major town or city,Urban,83441
E00088123,RLN1,Larger rural: Nearer to a major town or city,Rural,83442
E00088065,UN1,Urban: Nearer to a major town or city,Urban,83443
E00088179,RLN1,Larger rural: Nearer to a major town or city,Rural,83444
E00088362,UN1,Urban: Nearer to a major town or city,Urban,83445
E00088124,UN1,Urban: Nearer to a major town or city,Urban,83446
E00088181,RLN1,Larger rural: Nearer to a major town or city,Rural,83447
E00088066,UN1,Urban: Nearer to a major town or city,Urban,83448
E00088290,RLN1,Larger rural: Nearer to a major town or city,Rural,83449
E00088363,UN1,Urban: Nearer to a major town or city,Urban,83450
E00088182,RLN1,Larger rural: Nearer to a major town or city,Rural,83451
E00088067,UN1,Urban: Nearer to a major town or city,Urban,83452
E00088125,UN1,Urban: Nearer to a major town or city,Urban,83453
E00088291,RLN1,Larger rural: Nearer to a major town or city,Rural,83454
E00088364,UN1,Urban: Nearer to a major town or city,Urban,83455
E00088183,RLN1,Larger rural: Nearer to a major town or city,Rural,83456
E00088068,UN1,Urban: Nearer to a major town or city,Urban,83457
E00088126,RSN1,Smaller rural: Nearer to a major town or city,Rural,83458
E00088293,RLN1,Larger rural: Nearer to a major town or city,Rural,83459
E00088365,UN1,Urban: Nearer to a major town or city,Urban,83460
E00088184,RSN1,Smaller rural: Nearer to a major town or city,Rural,83461
